model,target,MAE,RMSE,Spearman_rho
1D-CNN,Abs. λmax (nm),9.384 ± 3.270,11.235 ± 2.652,0.516 ± 0.317
1D-CNN,Em. λmax (nm),15.108 ± 3.820,17.483 ± 3.527,0.171 ± 0.211
1D-CNN,log ε,0.058 ± 0.008,0.069 ± 0.012,-0.233 ± 0.366
1D-CNN,ΦF (quantum yield),0.135 ± 0.019,0.176 ± 0.030,0.805 ± 0.083
GATv2,Abs. λmax (nm),13.458 ± 5.653,15.503 ± 5.465,0.198 ± 0.564
GATv2,Em. λmax (nm),24.177 ± 6.127,26.723 ± 5.729,0.005 ± 0.445
GATv2,log ε,0.055 ± 0.028,0.064 ± 0.028,0.443 ± 0.473
GATv2,ΦF (quantum yield),0.162 ± 0.046,0.214 ± 0.067,0.824 ± 0.197
MLP,Abs. λmax (nm),9.553 ± 2.602,11.190 ± 3.044,0.376 ± 0.155
MLP,Em. λmax (nm),20.697 ± 4.549,23.904 ± 4.649,-0.057 ± 0.085
MLP,log ε,0.069 ± 0.017,0.089 ± 0.023,-0.186 ± 0.402
MLP,ΦF (quantum yield),0.241 ± 0.022,0.308 ± 0.030,0.267 ± 0.081
Transformer,Abs. λmax (nm),9.455 ± 2.274,10.932 ± 2.235,0.783 ± 0.167
Transformer,Em. λmax (nm),12.491 ± 2.000,14.553 ± 1.669,0.729 ± 0.140
Transformer,log ε,0.088 ± 0.032,0.107 ± 0.040,0.038 ± 0.293
Transformer,ΦF (quantum yield),0.188 ± 0.052,0.219 ± 0.047,0.381 ± 0.173
