seed,model,target,R2,RMSE,MAE
0,MLP,Abs. λmax (nm),0.9053,25.63,19.256
0,MLP,Em. λmax (nm),0.9162,23.394,16.881
0,MLP,ΦF (quantum yield),0.4995,0.258,0.211
0,MLP,log ε,0.5358,0.21,0.161
0,1D-CNN,Abs. λmax (nm),0.8618,30.974,23.303
0,1D-CNN,Em. λmax (nm),0.8749,28.575,21.101
0,1D-CNN,ΦF (quantum yield),0.2799,0.31,0.255
0,1D-CNN,log ε,0.5436,0.208,0.151
0,Transformer,Abs. λmax (nm),0.653,49.07,35.67
0,Transformer,Em. λmax (nm),0.6298,49.159,36.528
0,Transformer,ΦF (quantum yield),0.3004,0.305,0.236
0,Transformer,log ε,0.2652,0.264,0.201
0,GATv2,Abs. λmax (nm),0.8628,30.86,22.079
0,GATv2,Em. λmax (nm),0.8703,29.092,22.861
0,GATv2,ΦF (quantum yield),0.482,0.263,0.214
0,GATv2,log ε,0.5124,0.215,0.169
1,MLP,Abs. λmax (nm),0.9066,25.453,19.458
1,MLP,Em. λmax (nm),0.9365,20.366,15.062
1,MLP,ΦF (quantum yield),0.4781,0.264,0.217
1,MLP,log ε,0.5464,0.208,0.153
1,1D-CNN,Abs. λmax (nm),0.8652,30.592,21.736
1,1D-CNN,Em. λmax (nm),0.9009,25.437,18.82
1,1D-CNN,ΦF (quantum yield),0.3252,0.3,0.245
1,1D-CNN,log ε,0.53,0.211,0.154
1,Transformer,Abs. λmax (nm),0.6396,50.014,38.578
1,Transformer,Em. λmax (nm),0.6279,49.283,37.485
1,Transformer,ΦF (quantum yield),0.1682,0.333,0.276
1,Transformer,log ε,0.2214,0.272,0.218
1,GATv2,Abs. λmax (nm),0.8768,29.24,21.156
1,GATv2,Em. λmax (nm),0.8977,25.841,19.92
1,GATv2,ΦF (quantum yield),0.4995,0.258,0.206
1,GATv2,log ε,0.4525,0.228,0.167
2,MLP,Abs. λmax (nm),0.9203,23.516,17.149
2,MLP,Em. λmax (nm),0.9373,20.231,13.843
2,MLP,ΦF (quantum yield),0.5547,0.244,0.197
2,MLP,log ε,0.4664,0.225,0.166
2,1D-CNN,Abs. λmax (nm),0.9029,25.964,18.951
2,1D-CNN,Em. λmax (nm),0.9061,24.763,18.476
2,1D-CNN,ΦF (quantum yield),0.423,0.277,0.224
2,1D-CNN,log ε,0.4646,0.226,0.16
2,Transformer,Abs. λmax (nm),0.6297,50.697,39.439
2,Transformer,Em. λmax (nm),0.6461,48.063,36.892
2,Transformer,ΦF (quantum yield),0.2457,0.317,0.248
2,Transformer,log ε,0.2201,0.272,0.212
2,GATv2,Abs. λmax (nm),0.8954,26.938,18.011
2,GATv2,Em. λmax (nm),0.9,25.554,18.091
2,GATv2,ΦF (quantum yield),0.542,0.247,0.2
2,GATv2,log ε,0.4348,0.232,0.177
3,MLP,Abs. λmax (nm),0.911,24.855,18.651
3,MLP,Em. λmax (nm),0.9309,21.233,15.073
3,MLP,ΦF (quantum yield),0.5301,0.25,0.205
3,MLP,log ε,0.5207,0.213,0.163
3,1D-CNN,Abs. λmax (nm),0.882,28.616,21.408
3,1D-CNN,Em. λmax (nm),0.8851,27.385,20.598
3,1D-CNN,ΦF (quantum yield),0.3309,0.299,0.24
3,1D-CNN,log ε,0.632,0.187,0.139
3,Transformer,Abs. λmax (nm),0.5613,55.178,43.381
3,Transformer,Em. λmax (nm),0.5648,53.298,39.506
3,Transformer,ΦF (quantum yield),0.3795,0.287,0.22
3,Transformer,log ε,0.3328,0.252,0.199
3,GATv2,Abs. λmax (nm),0.882,28.612,19.998
3,GATv2,Em. λmax (nm),0.9083,24.471,18.875
3,GATv2,ΦF (quantum yield),0.5791,0.237,0.183
3,GATv2,log ε,0.4189,0.235,0.18
4,MLP,Abs. λmax (nm),0.9191,23.701,17.885
4,MLP,Em. λmax (nm),0.9353,20.551,15.061
4,MLP,ΦF (quantum yield),0.5213,0.253,0.207
4,MLP,log ε,0.4714,0.224,0.169
4,1D-CNN,Abs. λmax (nm),0.8991,26.463,19.942
4,1D-CNN,Em. λmax (nm),0.9022,25.267,19.044
4,1D-CNN,ΦF (quantum yield),0.3576,0.293,0.234
4,1D-CNN,log ε,0.5652,0.203,0.147
4,Transformer,Abs. λmax (nm),0.7477,41.842,31.527
4,Transformer,Em. λmax (nm),0.7412,41.102,29.803
4,Transformer,ΦF (quantum yield),0.226,0.321,0.253
4,Transformer,log ε,0.3383,0.251,0.199
4,GATv2,Abs. λmax (nm),0.8968,26.763,18.637
4,GATv2,Em. λmax (nm),0.9036,25.09,18.754
4,GATv2,ΦF (quantum yield),0.4701,0.266,0.213
4,GATv2,log ε,0.4227,0.234,0.18
