model,target,R2,RMSE,MAE
1D-CNN,Abs. λmax (nm),0.882 ± 0.019,28.522 ± 2.296,21.068 ± 1.681
1D-CNN,Em. λmax (nm),0.894 ± 0.013,26.285 ± 1.622,19.608 ± 1.165
1D-CNN,log ε,0.547 ± 0.061,0.207 ± 0.014,0.150 ± 0.008
1D-CNN,ΦF (quantum yield),0.343 ± 0.053,0.296 ± 0.012,0.240 ± 0.012
GATv2,Abs. λmax (nm),0.883 ± 0.014,28.483 ± 1.702,19.976 ± 1.693
GATv2,Em. λmax (nm),0.896 ± 0.015,26.010 ± 1.799,19.700 ± 1.884
GATv2,log ε,0.448 ± 0.038,0.229 ± 0.008,0.175 ± 0.006
GATv2,ΦF (quantum yield),0.515 ± 0.045,0.254 ± 0.012,0.203 ± 0.013
MLP,Abs. λmax (nm),0.912 ± 0.007,24.631 ± 0.979,18.480 ± 0.964
MLP,Em. λmax (nm),0.931 ± 0.009,21.155 ± 1.310,15.184 ± 1.086
MLP,log ε,0.508 ± 0.037,0.216 ± 0.008,0.162 ± 0.006
MLP,ΦF (quantum yield),0.517 ± 0.029,0.254 ± 0.008,0.207 ± 0.007
Transformer,Abs. λmax (nm),0.646 ± 0.067,49.360 ± 4.813,37.719 ± 4.424
Transformer,Em. λmax (nm),0.642 ± 0.064,48.181 ± 4.429,36.043 ± 3.673
Transformer,log ε,0.276 ± 0.058,0.262 ± 0.010,0.206 ± 0.009
Transformer,ΦF (quantum yield),0.264 ± 0.080,0.313 ± 0.017,0.247 ± 0.021
