split,variant,seed,n,MAE,RMSE,R2,rho,dark_AUC
internal,direct,0,244,0.2131,0.2552,0.5112,0.7459,
internal,bounded,0,244,0.2195,0.2633,0.4793,0.7311,
internal,logit,0,244,0.1742,0.245,0.5493,0.7495,
internal,two_stage,0,244,0.2209,0.2779,0.4203,0.6752,0.8045
internal,direct,1,244,0.2014,0.2463,0.5444,0.759,
internal,bounded,1,244,0.2002,0.2439,0.5535,0.7713,
internal,logit,1,244,0.1691,0.2319,0.5961,0.7728,
internal,two_stage,1,244,0.2182,0.2758,0.429,0.6927,0.7506
internal,direct,2,244,0.1965,0.245,0.5494,0.7442,
internal,bounded,2,244,0.1984,0.2474,0.5406,0.7512,
internal,logit,2,244,0.1683,0.2297,0.6037,0.782,
internal,two_stage,2,244,0.221,0.2729,0.4408,0.7124,0.7823
internal,direct,3,244,0.2203,0.2602,0.4915,0.7465,
internal,bounded,3,244,0.1994,0.2462,0.5449,0.7619,
internal,logit,3,244,0.1749,0.2361,0.5815,0.7723,
internal,two_stage,3,244,0.2196,0.2663,0.4676,0.7098,0.7833
internal,direct,4,244,0.1883,0.2359,0.5821,0.7738,
internal,bounded,4,244,0.2035,0.2483,0.5372,0.7643,
internal,logit,4,244,0.172,0.2367,0.5794,0.7595,
internal,two_stage,4,244,0.2267,0.2822,0.4023,0.6689,0.7836
pooled_external,direct,0,748,0.2921,0.34,0.0893,0.367,
pooled_external,bounded,0,748,0.2897,0.3577,-0.0078,0.3689,
pooled_external,logit,0,748,0.3033,0.3806,-0.1411,0.2968,
pooled_external,two_stage,0,748,0.2905,0.3456,0.0593,0.3399,0.6584
pooled_external,direct,1,748,0.2962,0.3441,0.0673,0.3636,
pooled_external,bounded,1,748,0.3007,0.3486,0.0427,0.3478,
pooled_external,logit,1,748,0.2966,0.3543,0.0112,0.3568,
pooled_external,two_stage,1,748,0.2883,0.3376,0.1023,0.3813,0.6497
pooled_external,direct,2,748,0.3092,0.3486,0.0429,0.272,
pooled_external,bounded,2,748,0.3063,0.3599,-0.0202,0.3058,
pooled_external,logit,2,748,0.3059,0.3796,-0.1353,0.3138,
pooled_external,two_stage,2,748,0.3025,0.3577,-0.0076,0.2803,0.5883
pooled_external,direct,3,748,0.2962,0.3406,0.0864,0.3412,
pooled_external,bounded,3,748,0.2993,0.3636,-0.0412,0.3444,
pooled_external,logit,3,748,0.3053,0.3688,-0.0715,0.2527,
pooled_external,two_stage,3,748,0.3032,0.3451,0.0621,0.3205,0.6102
pooled_external,direct,4,748,0.3034,0.3449,0.0631,0.2985,
pooled_external,bounded,4,748,0.3079,0.3662,-0.0564,0.2863,
pooled_external,logit,4,748,0.3085,0.3818,-0.1482,0.2643,
pooled_external,two_stage,4,748,0.2959,0.3479,0.0468,0.3314,0.6247
