feature,mean_abs_shap,sd
solvent:TPSA,0.11243,0.01805
solvent:MolLogP,0.05521,0.01031
solvent:NumHeteroatoms,0.05271,0.00872
chrom:MolWt,0.03942,0.00824
chrom:NumHDonors,0.03793,0.01588
solvent:NumHAcceptors,0.03571,0.0126
MorganBit_1088,0.0311,0.0066
chrom:NumHAcceptors,0.02904,0.00357
chrom:NumHeteroatoms,0.02882,0.00649
MorganBit_1722,0.02515,0.0049
MorganBit_389,0.02446,0.00448
solvent:NumRotatableBonds,0.02355,0.00552
MorganBit_1391,0.02346,0.0079
MorganBit_1199,0.02299,0.00274
MorganBit_1423,0.02292,0.00442
MorganBit_1770,0.02217,0.00316
MorganBit_84,0.02167,0.00602
chrom:FractionCSP3,0.02075,0.00997
MorganBit_896,0.02043,0.00338
solvent:FractionCSP3,0.02035,0.00984
MorganBit_289,0.01893,0.00683
MorganBit_883,0.0181,0.00279
MorganBit_1299,0.01783,0.00141
solvent:NumHDonors,0.01737,0.00507
chrom:MolLogP,0.01672,0.00365
MorganBit_858,0.01623,0.00353
MorganBit_1692,0.01619,0.0046
solvent:RingCount,0.016,0.00298
chrom:TPSA,0.01546,0.00653
MorganBit_1313,0.01539,0.00528
MorganBit_1768,0.01452,0.00372
MorganBit_1594,0.0144,0.0051
MorganBit_1114,0.01428,0.00354
MorganBit_1160,0.01347,0.00787
MorganBit_1745,0.01324,0.00162
MorganBit_294,0.01315,0.00294
MorganBit_148,0.01303,0.00517
MorganBit_1305,0.01266,0.0042
MorganBit_947,0.01258,0.00078
MorganBit_1042,0.01197,0.00216
